ID-родителя;ID-торг.предложения;КОД;Наименование товара на сайте;Техническое название для счета;Остаток;Цена 0-10:1500.10#11-100:1480.32#101-300#1450;Кол-во товаров в коробке;Группа протоколов
1059;2430;02131СП;ЖКХ-001 LED NEW 155.12.2.20-2.5.1;Светильник ЖКХ-001 LED, 12 Вт, с оптико-акустическим датчиком Аргос-967;6930;686;24;
3376;;1012;;Светильник домовой "Интеллект-ЖКХ"LED,10Вт, с датч, и деж.реж, антиванд.,IP54, Арт.200.10.1.54-1.4.1;0;;5;
3376;;1013;;Светильник домовой "Интеллект-ЖКХ"LED,10Вт, с датч, и деж.реж, антиванд.,IP54, Арт.200.10.1.54-3.4.1;0;;5;
3376;;1014;;Светильник домовой "Интеллект-ЖКХ"LED,13Вт, с датч, и деж.реж, антиванд.,IP54, Арт.200.13.1.54-1.4.1;0;;5;
3376;;1015;;Светильник домовой "Интеллект-ЖКХ"LED,13Вт, с датч, и деж.реж, антиванд.,IP54, Арт.200.13.1.54-3.4.1;0;;5;
3376;2517;1231;Светильник домовой "Интеллект-ЖКХ" LED, 13 Вт, 200.13 Вт, белый 1.54-1.5.1;Светильник домовой "Интеллект-ЖКХ"LED,13Вт, с датч, и деж.реж, антиванд.,IP54, Арт.200.13.1.54-1.5.1;1507;0-10:932,85 #11-100:870.66#101-300:834,38#300-n:798,00;5;
3376;2516;1232;;Светильник домовой "Интеллект-ЖКХ"LED,13Вт, с датч, и деж.реж, антиванд.,IP54, Арт.200.13.1.54-3.5.1;1259;834,38;5;
3376;3377;1233;;Светильник домовой "Интеллект-ЖКХ"LED,10Вт, с датч, и деж.реж, антиванд.,IP54, Арт.200.10.1.54-1.5.1;3004;806,61;5;
3376;2509;1234;;Светильник домовой "Интеллект-ЖКХ"LED,10Вт, с датч, и деж.реж, антиванд.,IP54, Арт.200.10.1.54-3.5.1;0;806,61;5;
3376;2508;200.10.1.54-2.5;;Светильник домовой "Интеллект-ЖКХ"LED,10Вт, с датч, и деж.реж, антиванд.,IP54, Арт.200.10.1.54-2.5.1;0;806,61;5;
3376;2518;200.13.1.54-2.5;;Светильник домовой "Интеллект-ЖКХ"LED,13Вт, с датч, и деж.реж, антиванд.,IP54, Арт.200.13.1.54-2.5.1;0;834,38;5;
1059;1060;GKH001;;Светильник ЖКХ 001 LED 8Вт с оптико-акуст. датчиком Аргос;2461;685,86;24;
3376;;ИНТЕЛЛЕКТ001;;Светильник домовой"Интеллект-ЖКХ"LED,10Вт,датч. и деж.реж,антиванд,IP54, белый.Арт.200.10.1.1;0;806,61;5;
