IE_XML_ID;IE_NAME;IE_ID
Altem'evsk_eng;Russkiy_svet;1830
Armavir_eng;Russkiy_svet;1831
Astrakhan_eng;Russkiy_svet;1832
Barnaul_eng;Russkiy_svet;1833
Belgorod_eng;Russkiy_svet;1834
Biisk_eng;Russkiy_svet;1835
Bryansk_eng;Russkiy_svet;1836
Cheboksary_eng;Russkiy_svet;1837
Chelyabinsk_eng;Russkiy_svet;1838
Chelyabinsk_1_eng;Russkiy_svet;1839
Cherepovets_eng;Russkiy_svet;1840
Dzerzhinsk_eng;Russkiy_svet;1841
Ekaterinburg_eng;Russkiy_svet;1842
Ekaterinburg_1_eng;Russkiy_svet;1843
Elets_eng;Russkiy_svet;1844
Ivanovo_eng;Russkiy_svet;1845
Izhevsk_eng;Russkiy_svet;1846
Kaluga_eng;Russkiy_svet;1847
Kamensk-Uralskiy_eng;Russkiy_svet;1848
Kazan_eng;Russkiy_svet;1849
Kazan_1_eng;Russkiy_svet;1850
Kemerovo_eng;Russkiy_svet;1851
Kirov_eng;Russkiy_svet;1852
Klin_eng;Russkiy_svet;1853
Kolomna_eng;Russkiy_svet;1854
Kostroma_eng;Russkiy_svet;1855
Krasnodar_eng;Russkiy_svet;1856
Krasnodar_1_eng;Russkiy_svet;1857
Krasnoyarsk_eng;Russkiy_svet;1858
Krasnoyarsk_1_eng;Russkiy_svet;1859
Kurgan_eng;Russkiy_svet;1860
Kursk_eng;Russkiy_svet;1861
Lipestk_eng;Russkiy_svet;1862
Magnitogorsk_eng;Russkiy_svet;1863
Miass_eng;Russkiy_svet;1864
Michurinsk_eng;Russkiy_svet;1865
833;Russkiy_svet;1866
Moscow_1_eng;Russkiy_svet;1867
Moscow_2_eng;Russkiy_svet;1868
Moscow_3_eng;Russkiy_svet;1869
Naberezhnye Chelni_eng;Russkiy_svet;1870
Naro-Fominsk_eng;Russkiy_svet;1871
Nizhnevartovsk_eng;Russkiy_svet;1872
Nizhniy Novgorod_eng;Russkiy_svet;1873
Nizhniy Novgorod_1_eng;Russkiy_svet;1874
Nizhniy Tagil_eng;Russkiy_svet;1875
Novgorod_eng;Russkiy_svet;1876
Novokuznetsk_eng;Russkiy_svet;1877
Novorossiysk_eng;Russkiy_svet;1878
Novosibirsk_eng;Russkiy_svet;1879
Novosibirsk_1_eng;Russkiy_svet;1880
Obninsk_eng;Russkiy_svet;1881
Odintsovo_eng;Russkiy_svet;1882
Omsk_eng;Russkiy_svet;1883
Orehovo-Zuevo_eng;Russkiy_svet;1884
Orel_eng;Russkiy_svet;1885
Orenburg_eng;Russkiy_svet;1886
Orsk_eng;Russkiy_svet;1887
Penza_eng;Russkiy_svet;1888
Perm_eng;Russkiy_svet;1889
Petrozavodsk_eng;Russkiy_svet;1890
Podolsk_eng;Russkiy_svet;1891
Pskov_eng;Russkiy_svet;1892
Pyatigorsk_eng;Russkiy_svet;1893
Ramenskoe_eng;Russkiy_svet;1894
Rostov-na-Donu_eng;Russkiy_svet;1895
Rostov-na-Donu_1_eng;Russkiy_svet;1896
Ryazan_eng;Russkiy_svet;1897
Rybinsk_eng;Russkiy_svet;1898
Samara_eng;Russkiy_svet;1899
Samara_1_eng;Russkiy_svet;1900
Saransk_eng;Russkiy_svet;1901
Saratov_eng;Russkiy_svet;1902
Sergiev Posad_eng;Russkiy_svet;1903
Serpukhov_eng;Russkiy_svet;1904
Shahty_eng;Russkiy_svet;1905
Shelkovo_eng;Russkiy_svet;1906
Simferopol_eng;Russkiy_svet;1907
Smolensk_eng;Russkiy_svet;1908
Sochi_eng;Russkiy_svet;1909
St.Petersburg_eng;Russkiy_svet;1910
St.Petersburg_2_eng;Russkiy_svet;1911
St.Petersburg_1_eng;Russkiy_svet;1912
Stariy Oskol_eng;Russkiy_svet;1913
Stavropol_eng;Russkiy_svet;1914
Sterlitamak_eng;Russkiy_svet;1915
Surgut_eng;Russkiy_svet;1916
Taganrog_eng;Russkiy_svet;1917
Tambov_eng;Russkiy_svet;1918
Tobolsk_eng;Russkiy_svet;1919
Toliatti_eng;Russkiy_svet;1920
Tomsk_eng;Russkiy_svet;1921
Tula_eng;Russkiy_svet;1922
Tumen_eng;Russkiy_svet;1923
Tver_eng;Russkiy_svet;1924
Ufa_eng;Russkiy_svet;1925
Ufa_1_eng;Russkiy_svet;1926
Uljanovsk_eng;Russkiy_svet;1927
Vladimir_eng;Russkiy_svet;1928
Volgograd_eng;Russkiy_svet;1929
Vologda_eng;Russkiy_svet;1930
Volzhskiy_eng;Russkiy_svet;1931
Voronezh_eng;Russkiy_svet;1932
Voronezh_1_eng;Russkiy_svet;1933
Vyborg_eng;Russkiy_svet;1934
Yaroslavl_eng;Russkiy_svet;1935
Zelenograd_eng;Russkiy_svet;1936
Zheleznogorsk_eng;Russkiy_svet;1937
2188;;2188
2189;";Russia;";2189
2190;C;2190
