IE_XML_ID;IE_NAME;ID;Группа 1 уровня;Группа 2 уровня;
Abakan;Абакан;;Россия;Хакасия ;
Almetyevsk;Альметьевск;;Россия;Татарстан;
Armavir;Армавир;;Россия;Краснодарский край;
Armavir2;Армавир;;Россия;Краснодарский край;
Arkhangelsk;Архангельск;;Россия;Архангельская область;
Astrakhan;Астрахань;;Россия;Астраханская область;
Balakovo;Балаково;;Россия;Саратовская область;
Barnaul;Барнаул;;Россия;Алтайский край;
Belgorod;Белгород;;Россия;Белгородская область;
Biysk;Бийск;;Россия;Алтайский край;
Berezniki;Березники;;Россия;Пермский край;
Bryansk;Брянск;;Россия;Брянская область;
Bugulma;Бугульма;;Россия;Татарстан;
VelikyNovgorod;В. Новгород;;Россия;Новгородская область;
Vladimir;Владимир;;Россия;Владимирская область;
Volgograd;Волгоград;;Россия;Волгоградская область;
Volgograd2;Волгоград;;Россия;Волгоградская область;
Volgodonsk;Волгодонск;;Россия;Ростовская область;
Volzhskiy;Волжский;;Россия;Волгоградская область;
Volzhskiy2;Волжский;;Россия;Волгоградская область;
Vologda;Вологда;;Россия;Вологодская область;
Voronezh;Воронеж;;Россия;Воронежская область;
Vyborg;Выборг;;Россия;Ленинградская область;
Zlatoust;Златоуст;;Россия;Челябинская область;
Yekaterinburg;Екатеринбург;;Россия;Свердловская область;
Yekaterinburg2;Екатеринбург;;Россия;Свердловская область;
Yekaterinburg3;Екатеринбург;;Россия;Свердловская область;
Yekaterinburg4;Екатеринбург;;Россия;Свердловская область;
Yekaterinburg5;Екатеринбург;;Россия;Свердловская область;
Yekaterinburg6;Екатеринбург;;Россия;Свердловская область;
Yelabuga;Елабуга;;Россия;Хабаровский край.;
Yessentuki;Ессентуки;;Россия;Ставропольский край;
Ivanovo;Иваново;;Россия;Ивановская область;
Izhevsk;Ижевск;;Россия;Удмуртская республика;
Irkutsk;Иркутск;;Россия;Иркутская область;
Yoshkar-Ola;Йошкар-Ола;;Россия;Марий Эл республика ;
Kazan;Казань;;Россия;Татарстан;
Kazan2;Казань;;Россия;Татарстан;
Kaluga;Калуга;;Россия;Калужская область;
 Kamensk-Shakhtinskiy;Каменск-Шахтинский;;Россия;Ростовская область;
Kamensk-Uralskiy;Каменск-Уральский;;Россия;Свердловская область;
Kemerovo;Кемерово;;Россия;Кемеровская область;
Kirov;Киров;;Россия;Кировская область;
Kostroma;Кострома;;Россия;Костромская область;
Krasnodar;Краснодар;;Россия;Краснодарский край;
Krasnodar2;Краснодар;;Россия;Краснодарский край;не экспортировано
Krasnoyarsk;Красноярск;;Россия;Красноярский край;
Krasnoyarsk2;Красноярск;;Россия;Красноярский край;
Kropotkin;Кропоткин;;Россия;Краснодарский край;
Kropotkin2;Кропоткин;;Россия;Краснодарский край;
Kurgan;Курган;;Россия;Курганская область;
Kursk;Курск ;;Россия;Курская область;
Lipetsk;Липецк;;Россия;Липецкая область;
Magnitogorsk;Магнитогорск;;Россия;Челябинская область;
Makhachkala;Махачкала;;Россия;Дагестанская республика ;
Miass;Миасс;;Россия;Челябинская область;
Moscow;Москва;;Россия;Московская область;
Moscow2;Москва;;Россия;Московская область;
Moscow3;Москва;;Россия;Московская область;
Moscow4;Москва;;Россия;Московская область;
Moscow5;Москва;;Россия;Московская область;
Moscow6;Москва;;Россия;Московская область;
Moscow7;Москва;;Россия;Московская область;
Moscow8;Москва;;Россия;Московская область;
Moscow9;Москва;;Россия;Московская область;
Moscow10;Москва;;Россия;Московская область;
Moscow11;Москва;;Россия;Московская область;
Moscow12;Москва;;Россия;Московская область;
Moscow13;Москва;;Россия;Московская область;
Moscow14;Москва;;Россия;Московская область;
Moscow15;Москва;;Россия;Московская область;
Moscow16;Москва;;Россия;Московская область;
Moscow17;Москва;;Россия;Московская область;
Murmansk;Мурманск;;Россия;Мурманская область;
NaberezhnyeChelny;Набережные Челны;;Россия;Татарстан;
Nefteyugansk;Нефтеюганск;;Россия;Ханты-Мансийский автономный округ;
Nevinnomyssk;Невинномысск;;Россия;Ставропольский край;
Nizhnevartovsk;Нижневартовск;;Россия;Ханты-Мансийский автономный округ;
Nizhnekamsk;Нижнекамск;;Россия;Татарстан;
NizhnyNovgorod;Нижний Новгород;;Россия;Нижегородская область;
NizhnyNovgorod2;Нижний Новгород;;Россия;Нижегородская область;
NizhnyTagil;Нижний Тагил;;Россия;Свердловская область;
Novokuznetsk;Новокузнецк;;Россия;Кемеровская область;
Novorossiysk;Новороссийск;;Россия;Краснодарский край;
Novosibirsk;Новосибирск;;Россия;Новосибирская область;
Novosibirsk2;Новосибирск;;Россия;Новосибирская область;
Novosibirsk3;Новосибирск;;Россия;Новосибирская область;
Novocherkassk;Новочеркасск;;Россия;Ростовская область;
Novocherkassk;Новочеркасск;;Россия;Ростовская область;
Omsk;Омск;;Россия;Омская область;
Orenburg;Оренбург;;Россия;Оренбургская область;
Oryol;Орел;;Россия;Орловская область;
ORSK;Орск;;Россия;Оренбургская область;
Penza;Пенза;;Россия;Пензенская область;
Perm;Пермь;;Россия;Пермский край;
Perm2;Пермь;;Россия;Пермский край;
Petrozavodsk;Петрозаводск;;Россия;Республика Карелия;
Pyatigorsk;Пятигорск;;Россия;Ставропольский край;
