IE_NAME;Группа 1 уровня;Группа 2 уровня
Абакан;Russia;Хакасия 
Альметьевск;Russia;Татарстан
Армавир;Russia;Краснодарский край
Армавир;Russia;Краснодарский край
Архангельск;Russia;Архангельская область
Астрахань;Russia;Астраханская область
Балаково;Russia;Саратовская область
Барнаул;Russia;Алтайский край
Белгород;Russia;Белгородская область
Бийск;Russia;Алтайский край
Березники;Russia;Пермский край
Брянск;Russia;Брянская область
Бугульма;Russia;Татарстан
В. Новгород;Russia;Новгородская область
Владимир;Russia;Владимирская область
Волгоград;Russia;Волгоградская область
Волгоград;Russia;Волгоградская область
Волгодонск;Russia;Ростовская область
Волжский;Russia;Волгоградская область
Волжский;Russia;Волгоградская область
Вологда;Russia;Вологодская область
Воронеж;Russia;Воронежская область
Выборг;Russia;Ленинградская область
Златоуст;Russia;Челябинская область
Екатеринбург;Russia;Свердловская область
Екатеринбург;Russia;Свердловская область
Екатеринбург;Russia;Свердловская область
Екатеринбург;Russia;Свердловская область
Екатеринбург;Russia;Свердловская область
Екатеринбург;Russia;Свердловская область
Елабуга;Russia;Хабаровский край.
Ессентуки;Russia;Ставропольский край
Иваново;Russia;Ивановская область
Ижевск;Russia;Удмуртская республика
Иркутск;Russia;Иркутская область
Йошкар-Ола;Russia;Марий Эл республика 
Казань;Russia;Татарстан
Казань;Russia;Татарстан
Калуга;Russia;Калужская область
Каменск-Шахтинский;Russia;Ростовская область
Каменск-Уральский;Russia;Свердловская область
Кемерово;Russia;Кемеровская область
Киров;Russia;Кировская область
Кострома;Russia;Костромская область
Краснодар;Russia;Краснодарский край
;Russia;Краснодарский край
Красноярск;Russia;Красноярский край
Красноярск;Russia;Красноярский край
Кропоткин;Russia;Краснодарский край
Кропоткин;Russia;Краснодарский край
Курган;Russia;Курганская область
Курск ;Russia;Курская область
Липецк;Russia;Липецкая область
Магнитогорск;Russia;Челябинская область
Махачкала;Russia;Дагестанская республика 
Миасс;Russia;Челябинская область
Москва;Russia;Московская область
Москва;Russia;Московская область
Москва;Russia;Московская область
Москва;Russia;Московская область
Москва;Russia;Московская область
Москва;Russia;Московская область
Москва;Russia;Московская область
Москва;Russia;Московская область
Москва;Russia;Московская область
Москва;Russia;Московская область
Москва;Russia;Московская область
Москва;Russia;Московская область
Москва;Russia;Московская область
Москва;Russia;Московская область
Москва;Russia;Московская область
Москва;Russia;Московская область
Москва;Russia;Московская область
Мурманск;Russia;Мурманская область
Набережные Челны;Russia;Татарстан
Нефтеюганск;Russia;Ханты-Мансийский автономный округ
Невинномысск;Russia;Ставропольский край
Нижневартовск;Russia;Ханты-Мансийский автономный округ
Нижнекамск;Russia;Татарстан
Нижний Новгород;Russia;Нижегородская область
;Russia;Нижегородская область
Нижний Тагил;Russia;Свердловская область
Новокузнецк;Russia;Кемеровская область
Новороссийск;Russia;Краснодарский край
Новосибирск;Russia;Новосибирская область
Новосибирск;Russia;Новосибирская область
Новосибирск;Russia;Новосибирская область
Новочеркасск;Russia;Ростовская область
Новочеркасск;Russia;Ростовская область
Омск;Russia;Омская область
Оренбург;Russia;Оренбургская область
Орел;Russia;Орловская область
Орск;Russia;Оренбургская область
Пенза;Russia;Пензенская область
Пермь;Russia;Пермский край
Пермь;Russia;Пермский край
Петрозаводск;Russia;Республика Карелия
Пятигорск;Russia;Ставропольский край
Ростов-на-Дону;Russia;Ростовская область
Ростов-на-Дону;Russia;Ростовская область
Ростов-на-Дону;Russia;Ростовская область
Ростов-на-Дону;Russia;Ростовская область
Рязань;Russia;Рязанская область
Самара;Russia;Самарская область
Самара;Russia;Самарская область
Самара;Russia;Самарская область
Самара;Russia;Самарская область
Самара;Russia;Самарская область
Самара;Russia;Самарская область
Санкт-Петербург;Russia;Ленинградская область
Санкт-Петербург;Russia;Ленинградская область
Санкт-Петербург;Russia;Ленинградская область
Санкт-Петербург;Russia;Ленинградская область
Санкт-Петербург;Russia;Ленинградская область
Санкт-Петербург;Russia;Ленинградская область
Санкт-Петербург;Russia;Ленинградская область
Санкт-Петербург;Russia;Ленинградская область
Санкт-Петербург;Russia;Ленинградская область
Санкт-Петербург;Russia;Ленинградская область
Санкт-Петербург;Russia;Ленинградская область
Санкт-Петербург;Russia;Ленинградская область
Санкт-Петербург;Russia;Ленинградская область
Санкт-Петербург;Russia;Ленинградская область
Санкт-Петербург;Russia;Ленинградская область
Санкт-Петербург;Russia;Ленинградская область
Санкт-Петербург;Russia;Ленинградская область
Санкт-Петербург;Russia;Ленинградская область
Санкт-Петербург;Russia;Ленинградская область
Санкт-Петербург;Russia;Ленинградская область
Санкт-Петербург;Russia;Ленинградская область
Саранск;Russia;Республика Мордовия
Саратов;Russia;Саратовская область
Cеров;Russia;Свердловская область
Сочи;Russia;Краснодарский край
Ставрополь;Russia;Ставропольский край
Старый Оскол;Russia;Белгородская область
Стерлитамак;Russia;Башкортастан
Сургут;Russia;Ханты-Мансийский автономный округ
Сызрань;Russia;Самарская область
Тамбов;Russia;Тамбовская область
Тихорецк;Russia;Краснодарский край
Тихорецк;Russia;Краснодарский край
Тобольск;Russia;Тюменская область
Тольятти;Russia;Самарская область
Томск;Russia;Томская область
Тула;Russia;Тульская область
Тюмень;Russia;Тюменская область
Ульяновск;Russia;Ульяновская область
Уфа;Russia;Башкортастан
Уфа;Russia;Башкортастан
Чебоксары;Russia;Чувашская республика
Челябинск;Russia;Челябинская область
Челябинск;Russia;Челябинская область
Челябинск;Russia;Челябинская область
Челябинск;Russia;Челябинская область
Череповец;Russia;Вологодская область
Шахты;Russia;Ростовская область
Шахты;Russia;Ростовская область
Энгельс;Russia;Саратовская область
Ярославль;Russia;Ярославская область
